lift,confidence,support,consequents,antecedents
55.56,1.0,0.001,liquor + cleaner,curd + root vegetables + soda
50.0,1.0,0.001,white wine + nut snack,brandy + liquor + pudding powder
50.0,1.0,0.001,white wine + nut snack,cereals + sauces + liquor
50.0,1.0,0.001,liquor + tropical fruit,white wine + liquor (appetizer) + nut snack
50.0,1.0,0.001,white wine + nut snack,cereals + liquor + potato products
50.0,1.0,0.001,brandy + tropical fruit,spices + specialty chocolate + light bulbs
47.62,1.0,0.001,liquor + bottled water,white wine + tropical fruit + nut snack
47.62,1.0,0.001,brandy + liquor,packaged fruit/vegetables + liquor (appetizer) + bottled water
47.62,1.0,0.001,tropical fruit + cleaner,root vegetables + bottled water + soda
47.62,1.0,0.001,liquor + bottled water,white wine + liquor (appetizer) + nut snack
45.45,1.0,0.001,liquor (appetizer) + cleaner,specialty chocolate + packaged fruit/vegetables + specialty vegetables
45.45,1.0,0.001,curd + tropical fruit,white wine + liquor (appetizer) + nut snack
45.45,1.0,0.001,curd + tropical fruit,specialty chocolate + light bulbs + baking powder
45.45,1.0,0.001,liquor (appetizer) + cleaner,specialty chocolate + light bulbs + specialty vegetables
45.45,1.0,0.001,pudding powder + nut snack,specialty chocolate + light bulbs + baking powder
45.45,1.0,0.001,pudding powder + nut snack,cereals + sauces + liquor
45.45,1.0,0.001,curd + tropical fruit,white wine + liquor (appetizer) + male cosmetics
45.45,1.0,0.001,pudding powder + nut snack,cereals + liquor + potato products
43.48,1.0,0.001,sweet spreads + nut snack,butter + liquor + cleaner
43.48,1.0,0.001,sweet spreads + nut snack,spices + curd + brandy
43.48,1.0,0.001,root vegetables + sweet spreads,bottled water + pip fruit + cleaner
43.48,1.0,0.001,root vegetables + sweet spreads,spices + male cosmetics + soda
43.48,1.0,0.001,root vegetables + sweet spreads,spices + brandy + soda
43.48,1.0,0.001,root vegetables + bottled water,specialty chocolate + light bulbs + baking powder
41.67,1.0,0.001,curd + soda,white wine + tropical fruit + nut snack
41.67,1.0,0.001,potato products + nut snack,brandy + liquor + pudding powder
41.67,1.0,0.001,curd + soda,specialty chocolate + specialty vegetables + male cosmetics
41.67,1.0,0.001,white wine + pudding powder,cereals + liquor + potato products
41.67,1.0,0.001,potato products + nut snack,cereals + sauces + liquor
41.67,1.0,0.001,curd + soda,white wine + liquor (appetizer) + nut snack
41.67,1.0,0.001,liquor (appetizer) + soda,white wine + tropical fruit + nut snack
41.67,1.0,0.001,white wine + pudding powder,cereals + sauces + liquor
41.67,1.0,0.001,spices + soda,white wine + liquor (appetizer) + nut snack
41.67,1.0,0.001,light bulbs + baking powder,sauces + liquor + bottled water
41.67,1.0,0.001,root vegetables + nut snack,specialty chocolate + light bulbs + baking powder
41.67,1.0,0.001,root vegetables + pudding powder,specialty chocolate + light bulbs + baking powder
41.67,1.0,0.001,specialty vegetables + male cosmetics,light bulbs + tropical fruit + cleaner
41.67,1.0,0.001,white wine + tropical fruit,spices + potato products + male cosmetics
41.67,1.0,0.001,root vegetables + pudding powder,specialty chocolate + light bulbs + pip fruit
41.67,1.0,0.001,spices + soda,white wine + tropical fruit + nut snack
41.67,1.0,0.001,specialty chocolate + root vegetables,brandy + liquor + cleaner
41.67,1.0,0.001,specialty chocolate + root vegetables,light bulbs + pip fruit + pudding powder
41.67,1.0,0.001,specialty chocolate + root vegetables,baking powder + brandy + tropical fruit
40.0,1.0,0.001,brandy + male cosmetics,specialty chocolate + packaged fruit/vegetables + sweet spreads
40.0,1.0,0.001,pip fruit + nut snack,cereals + liquor + potato products
40.0,1.0,0.001,light bulbs + cleaner,curd + root vegetables + soda
40.0,1.0,0.001,brandy + male cosmetics,spices + sweet spreads + soda
40.0,1.0,0.001,spices + bottled water,white wine + liquor (appetizer) + nut snack
40.0,1.0,0.001,pip fruit + nut snack,cereals + sauces + liquor
40.0,1.0,0.001,spices + bottled water,white wine + tropical fruit + nut snack
40.0,1.0,0.001,specialty chocolate + specialty vegetables,cereals + liquor + potato products
40.0,1.0,0.001,specialty chocolate + specialty vegetables,brandy + liquor + pudding powder
40.0,1.0,0.001,tropical fruit + sweet spreads,spices + specialty chocolate + light bulbs
40.0,1.0,0.001,liquor (appetizer) + nut snack,spices + curd + brandy
40.0,1.0,0.001,packaged fruit/vegetables + potato products,brandy + liquor + soda
40.0,1.0,0.001,packaged fruit/vegetables + sweet spreads,spices + male cosmetics + pudding powder
40.0,1.0,0.001,pip fruit + nut snack,brandy + liquor + pudding powder
40.0,1.0,0.001,specialty chocolate + specialty vegetables,baking powder + brandy + tropical fruit
40.0,1.0,0.001,brandy + male cosmetics,light bulbs + white wine + pudding powder
40.0,1.0,0.001,light bulbs + cleaner,specialty chocolate + packaged fruit/vegetables + specialty vegetables
40.0,1.0,0.001,specialty chocolate + baking powder,curd + potato products + root vegetables
40.0,1.0,0.001,baking powder + packaged fruit/vegetables,spices + potato products + male cosmetics
40.0,1.0,0.001,liquor (appetizer) + nut snack,packaged fruit/vegetables + potato products + pip fruit
40.0,1.0,0.001,specialty chocolate + specialty vegetables,cereals + sauces + liquor
38.46,1.0,0.001,light bulbs + sweet spreads,spices + curd + brandy
38.46,1.0,0.001,specialty chocolate + white wine,brandy + liquor + pudding powder
38.46,1.0,0.001,brandy + pudding powder,cereals + liquor + potato products
38.46,1.0,0.001,light bulbs + nut snack,spices + curd + brandy
38.46,1.0,0.001,potato products + specialty vegetables,brandy + liquor + pudding powder
38.46,1.0,0.001,specialty chocolate + white wine,cereals + liquor + potato products
38.46,1.0,0.001,bottled water + soda,white wine + tropical fruit + nut snack
38.46,1.0,0.001,liquor + pudding powder,specialty chocolate + light bulbs + pip fruit
38.46,1.0,0.001,liquor + pudding powder,cereals + light bulbs + root vegetables
38.46,1.0,0.001,tropical fruit + pudding powder,specialty chocolate + light bulbs + baking powder
38.46,1.0,0.001,tropical fruit + nut snack,specialty chocolate + light bulbs + baking powder
38.46,1.0,0.002,potato products + specialty vegetables,brandy + tropical fruit + root vegetables
38.46,1.0,0.001,light bulbs + nut snack,packaged fruit/vegetables + potato products + pip fruit
38.46,1.0,0.001,male cosmetics + nut snack,packaged fruit/vegetables + potato products + pip fruit
38.46,1.0,0.001,male cosmetics + nut snack,butter + liquor + cleaner
38.46,1.0,0.001,packaged fruit/vegetables + cleaner,specialty chocolate + light bulbs + specialty vegetables
38.46,1.0,0.001,soda + pudding powder,specialty chocolate + light bulbs + pip fruit
38.46,1.0,0.001,potato products + specialty vegetables,specialty chocolate + liquor + tropical fruit
38.46,1.0,0.001,bottled water + soda,white wine + liquor (appetizer) + nut snack
38.46,1.0,0.001,potato products + specialty vegetables,cereals + sauces + liquor
38.46,1.0,0.001,brandy + pudding powder,cereals + sauces + liquor
38.46,1.0,0.001,specialty chocolate + white wine,cereals + sauces + liquor
38.46,1.0,0.001,potato products + specialty vegetables,baking powder + brandy + tropical fruit
38.46,1.0,0.001,liquor (appetizer) + bottled water,white wine + tropical fruit + nut snack
38.46,1.0,0.001,potato products + sweet spreads,brandy + cleaner + pudding powder
37.04,1.0,0.001,liquor (appetizer) + sweet spreads,spices + curd + brandy
37.04,1.0,0.001,liquor (appetizer) + sweet spreads,light bulbs + brandy + tropical fruit
37.04,1.0,0.001,white wine + pip fruit,cereals + liquor + potato products
37.04,1.0,0.001,curd + liquor,white wine + tropical fruit + nut snack
37.04,1.0,0.001,white wine + potato products,brandy + liquor + pudding powder
37.04,1.0,0.001,white wine + pip fruit,brandy + liquor + pudding powder
37.04,1.0,0.001,baking powder + sweet spreads,bottled water + pip fruit + cleaner
37.04,1.0,0.001,specialty chocolate + pip fruit,brandy + liquor + pudding powder
37.04,1.0,0.001,curd + potato products,brandy + liquor + pudding powder
37.04,1.0,0.001,curd + specialty chocolate,brandy + liquor + pudding powder
37.04,1.0,0.002,liquor (appetizer) + sweet spreads,spices + light bulbs + brandy
37.04,1.0,0.001,specialty chocolate + pip fruit,cereals + liquor + potato products
37.04,1.0,0.001,brandy + root vegetables,spices + sweet spreads + soda
37.04,1.0,0.001,liquor (appetizer) + sweet spreads,butter + brandy + male cosmetics
37.04,1.0,0.001,root vegetables + soda,specialty chocolate + light bulbs + pip fruit
37.04,1.0,0.001,packaged fruit/vegetables + tropical fruit,spices + potato products + male cosmetics
37.04,1.0,0.001,packaged fruit/vegetables + liquor (appetizer),specialty chocolate + light bulbs + specialty vegetables
37.04,1.0,0.001,curd + specialty chocolate,cereals + sauces + liquor
37.04,1.0,0.001,spices + brandy,packaged fruit/vegetables + liquor (appetizer) + bottled water
37.04,1.0,0.001,specialty chocolate + pip fruit,packaged fruit/vegetables + liquor (appetizer) + bottled water
37.04,1.0,0.001,curd + baking powder,sauces + liquor + bottled water
37.04,1.0,0.001,spices + pip fruit,packaged fruit/vegetables + liquor (appetizer) + bottled water
37.04,1.0,0.001,white wine + potato products,sauces + liquor + bottled water
37.04,1.0,0.001,curd + potato products,sauces + liquor + bottled water
37.04,1.0,0.001,curd + liquor,specialty chocolate + specialty vegetables + male cosmetics
37.04,1.0,0.001,liquor (appetizer) + sweet spreads,spices + specialty chocolate + light bulbs
37.04,1.0,0.001,root vegetables + soda,light bulbs + pip fruit + pudding powder
37.04,1.0,0.002,spices + pip fruit,liquor (appetizer) + root vegetables + soda
37.04,1.0,0.001,pip fruit + pudding powder,cereals + sauces + liquor
37.04,1.0,0.001,specialty vegetables + pudding powder,cereals + sauces + liquor
37.04,1.0,0.001,curd + potato products,cereals + sauces + liquor
37.04,1.0,0.002,brandy + potato products,butter + liquor (appetizer) + cleaner
37.04,1.0,0.001,potato products + pudding powder,cereals + sauces + liquor
37.04,1.0,0.001,curd + specialty chocolate,cereals + liquor + potato products
37.04,1.0,0.001,specialty chocolate + pip fruit,cereals + sauces + liquor
